Date;DishargeRateBat0;RemainingCapacityBat0;DishargeRateBat1;RemainingCapacityBat1;
05/29/2024 03:04:40;8;35256;7334;14957;
05/29/2024 03:04:41;8;35256;7334;14957;
05/29/2024 03:04:42;8;35256;7334;14957;
05/29/2024 03:04:43;8;35256;7334;14957;
05/29/2024 03:04:44;8;35256;7334;14957;
05/29/2024 03:04:45;8;35256;7334;14957;
05/29/2024 03:04:46;8;35256;7334;14957;
05/29/2024 03:04:47;8;35256;7334;14957;
05/29/2024 03:04:48;8;35256;7334;14957;
05/29/2024 03:04:49;8;35256;7334;14957;
05/29/2024 03:04:50;8;35256;7334;14957;
05/29/2024 03:04:51;8;35256;7334;14957;
05/29/2024 03:04:52;8;35256;7334;14957;
05/29/2024 03:04:53;8;35256;7334;14957;
05/29/2024 03:04:54;8;35256;7334;14957;
05/29/2024 03:04:55;8;35256;7334;14957;
05/29/2024 03:04:56;8;35256;7334;14957;
05/29/2024 03:04:57;8;35256;7334;14957;
05/29/2024 03:04:58;8;35256;7334;14957;
05/29/2024 03:04:59;8;35256;7334;14957;
05/29/2024 03:05:01;8;35256;7334;14957;
05/29/2024 03:05:02;8;35256;7334;14957;
05/29/2024 03:05:03;8;35256;7334;14957;
05/29/2024 03:05:04;8;35256;7334;14957;
05/29/2024 03:05:05;8;35256;7334;14957;
05/29/2024 03:05:06;8;35256;7334;14957;
05/29/2024 03:05:07;8;35256;7334;14957;
05/29/2024 03:05:08;8;35256;7334;14957;
05/29/2024 03:05:09;8;35256;7334;14957;
05/29/2024 03:05:10;8;35256;7334;14957;
05/29/2024 03:05:11;8;35256;7334;14957;
05/29/2024 03:05:12;8;35256;7334;14957;
05/29/2024 03:05:13;8;35256;7334;14957;
05/29/2024 03:05:14;8;35256;7334;14957;
05/29/2024 03:05:15;8;35256;3344;14600;
05/29/2024 03:05:16;8;35256;3344;14600;
05/29/2024 03:05:17;8;35256;3344;14600;
05/29/2024 03:05:18;8;35256;3344;14600;
05/29/2024 03:05:19;8;35256;3344;14600;
05/29/2024 03:05:20;8;35256;3344;14600;
05/29/2024 03:05:21;8;35256;3344;14600;
05/29/2024 03:05:22;8;35256;3344;14600;
05/29/2024 03:05:23;8;35256;3344;14600;
05/29/2024 03:05:24;8;35256;3344;14600;
05/29/2024 03:05:25;8;35256;3344;14600;
05/29/2024 03:05:26;8;35256;3344;14600;
05/29/2024 03:05:27;8;35256;3344;14600;
05/29/2024 03:05:29;8;35256;3344;14600;
05/29/2024 03:05:30;8;35256;3344;14600;
05/29/2024 03:05:31;8;35256;3344;14600;
05/29/2024 03:05:32;8;35256;3344;14600;
05/29/2024 03:05:33;8;35256;3344;14600;
05/29/2024 03:05:34;8;35256;3344;14600;
05/29/2024 03:05:35;8;35256;3344;14600;
05/29/2024 03:05:36;8;35256;3344;14600;
05/29/2024 03:05:37;8;35256;3344;14600;
05/29/2024 03:05:38;8;35256;3344;14600;
05/29/2024 03:05:39;8;35256;3344;14600;
05/29/2024 03:05:40;8;35256;3344;14600;
05/29/2024 03:05:41;8;35256;3344;14600;
05/29/2024 03:05:42;8;35256;3344;14600;
05/29/2024 03:05:43;8;35256;3344;14600;
05/29/2024 03:05:44;8;35256;3344;14600;
05/29/2024 03:05:45;8;35256;3344;14600;
05/29/2024 03:05:46;8;35256;3344;14600;
05/29/2024 03:05:47;8;35256;3344;14600;
05/29/2024 03:05:48;8;35256;3344;14600;
05/29/2024 03:05:49;8;35256;3344;14600;
05/29/2024 03:05:50;8;35256;3344;14600;
05/29/2024 03:05:51;8;35256;3344;14600;
05/29/2024 03:05:52;8;35256;3344;14600;
05/29/2024 03:05:53;8;35256;3344;14600;
05/29/2024 03:05:54;8;35256;3344;14600;
05/29/2024 03:05:55;8;35256;3344;14600;
05/29/2024 03:05:56;8;35256;3344;14600;
05/29/2024 03:05:57;8;35256;3344;14600;
05/29/2024 03:05:58;8;35256;3344;14600;
05/29/2024 03:06:00;8;35256;3344;14600;
05/29/2024 03:06:01;8;35256;3344;14600;
05/29/2024 03:06:02;8;35256;3344;14600;
05/29/2024 03:06:03;8;35256;3344;14600;
05/29/2024 03:06:04;8;35256;3344;14600;
05/29/2024 03:06:05;8;35256;3344;14600;
05/29/2024 03:06:06;8;35256;3344;14600;
05/29/2024 03:06:07;8;35256;3344;14600;
05/29/2024 03:06:08;8;35256;3344;14600;
05/29/2024 03:06:09;8;35256;3344;14600;
05/29/2024 03:06:10;8;35256;3344;14600;
05/29/2024 03:06:11;8;35256;3344;14600;
05/29/2024 03:06:12;8;35256;3344;14600;
05/29/2024 03:06:13;8;35256;3344;14600;
05/29/2024 03:06:14;8;35256;3344;14600;
05/29/2024 03:06:15;8;35256;3344;14600;
05/29/2024 03:06:16;8;35256;3344;14600;
05/29/2024 03:06:17;8;35256;3344;14600;
05/29/2024 03:06:18;8;35256;3344;14600;
05/29/2024 03:06:19;8;35256;3344;14600;
05/29/2024 03:06:20;8;35256;3344;14600;
05/29/2024 03:06:21;8;35256;3344;14600;
05/29/2024 03:06:22;8;35256;3344;14600;
05/29/2024 03:06:23;8;35256;3344;14600;
05/29/2024 03:06:24;8;35256;3344;14600;
05/29/2024 03:06:25;8;35256;3344;14600;
05/29/2024 03:06:26;8;35256;3344;14600;
05/29/2024 03:06:27;8;35256;3344;14600;
05/29/2024 03:06:28;8;35256;3344;14600;
05/29/2024 03:06:30;8;35256;3344;14600;
05/29/2024 03:06:31;8;35256;3344;14600;
05/29/2024 03:06:32;8;35256;3344;14600;
05/29/2024 03:06:33;8;35256;3344;14600;
05/29/2024 03:06:34;8;35256;3344;14600;
05/29/2024 03:06:35;8;35256;3344;14600;
05/29/2024 03:06:36;8;35256;3344;14600;
05/29/2024 03:06:37;8;35256;3344;14600;
05/29/2024 03:06:38;8;35256;3344;14600;
05/29/2024 03:06:39;8;35256;3344;14600;
05/29/2024 03:06:40;8;35256;3344;14600;
05/29/2024 03:06:41;8;35256;3344;14600;
05/29/2024 03:06:42;8;35256;3344;14600;
05/29/2024 03:06:43;8;35256;3344;14600;
05/29/2024 03:06:44;8;35256;3344;14600;
05/29/2024 03:06:45;8;35256;3344;14600;
05/29/2024 03:06:46;8;35256;3344;14600;
05/29/2024 03:06:47;8;35256;3344;14600;
05/29/2024 03:06:48;8;35256;3344;14600;
05/29/2024 03:06:49;8;35256;3344;14600;
05/29/2024 03:06:50;8;35256;3344;14600;
05/29/2024 03:06:51;8;35256;3344;14600;
05/29/2024 03:06:52;8;35256;3344;14600;
05/29/2024 03:06:53;8;35256;3344;14600;
05/29/2024 03:06:54;8;35256;3344;14600;
05/29/2024 03:06:55;8;35256;3344;14600;
05/29/2024 03:06:56;8;35256;3344;14600;
05/29/2024 03:06:57;8;35256;3344;14600;
05/29/2024 03:06:58;8;35256;3344;14600;
05/29/2024 03:06:59;8;35256;3344;14600;
05/29/2024 03:07:00;8;35256;3344;14600;
05/29/2024 03:07:01;8;35256;3344;14600;
05/29/2024 03:07:02;8;35256;3344;14600;
05/29/2024 03:07:04;8;35256;3344;14600;
05/29/2024 03:07:05;8;35256;3344;14600;
05/29/2024 03:07:06;8;35256;3344;14600;
05/29/2024 03:07:07;8;35256;3344;14600;
05/29/2024 03:07:08;8;35256;3344;14600;
05/29/2024 03:07:09;8;35256;3344;14600;
05/29/2024 03:07:10;8;35256;3344;14600;
05/29/2024 03:07:11;8;35256;3344;14600;
05/29/2024 03:07:12;8;35256;3344;14600;
05/29/2024 03:07:13;8;35256;3344;14600;
05/29/2024 03:07:14;8;35256;3344;14600;
05/29/2024 03:07:15;8;35256;6202;14600;
05/29/2024 03:07:16;8;35256;6202;14600;
05/29/2024 03:07:17;8;35256;6202;14600;
05/29/2024 03:07:18;8;35256;6202;14600;
05/29/2024 03:07:19;8;35256;6202;14600;
05/29/2024 03:07:20;8;35256;6202;14600;
05/29/2024 03:07:21;8;35256;6202;14600;
05/29/2024 03:07:22;8;35256;6202;14600;
05/29/2024 03:07:23;8;35256;6202;14600;
05/29/2024 03:07:24;8;35256;6202;14600;
05/29/2024 03:07:25;8;35256;6202;14600;
05/29/2024 03:07:26;8;35256;6202;14600;
05/29/2024 03:07:27;8;35256;6202;14600;
05/29/2024 03:07:28;8;35256;6202;14600;
05/29/2024 03:07:30;8;35256;6202;14600;
05/29/2024 03:07:31;8;35256;6202;14600;
05/29/2024 03:07:32;8;35256;6202;14600;
